1074,119
1080,21
1081,20
1082,19
1083,18
1084,17
1085,16
1086,15
1087,14
1088,13
1123,118
1128,23
1129,22
1137,12
1172,117
1177,24
1178,25
1179,26
1186,11
1221,116
1228,27
1235,10
1270,115
1277,28
1284,9
1285,8
1286,7
1287,6
1288,5
1289,4
1290,3
1291,2
1292,1
1293,0
1319,114
1326,29
1368,113
1375,30
1417,112
1424,31
1466,111
1473,32
1515,110
1522,33
1564,109
1571,34
1613,108
1620,35
1662,107
1668,37
1669,36
1711,106
1716,39
1717,38
1760,105
1765,40
1809,104
1814,41
1858,103
1863,42
1907,102
1912,43
1956,101
1961,44
2005,100
2010,45
2054,99
2059,46
2103,98
2108,47
2152,97
2157,48
2201,96
2206,49
2224,69
2225,70
2226,71
2227,72
2228,73
2229,74
2230,75
2231,76
2232,77
2233,78
2234,79
2235,80
2236,81
2237,82
2238,83
2239,84
2240,85
2241,86
2242,87
2243,88
2244,89
2245,90
2246,91
2247,92
2248,93
2249,94
2250,95
2255,50
2256,51
2257,52
2258,53
2259,54
2260,55
2261,56
2262,57
2263,58
2264,59
2265,60
2266,61
2267,62
2268,63
2269,64
2270,65
2271,66
2272,67
2273,68
